ID	Nazwisko	Imie	Pesel	Zarobki	Telefon	Data zatrudnienia	Stanowisko	IdStanowiska	Plec	IdPlci	NIP	Firma	Telefonkomorkowy	Adresemail	Urodziny	Konto
PR105	¯ukowska	Katarzyna	57052068881	2850	0178069923	2002-12-13	pracownik	PR	kobieta	K	861-962-24-50	Reda Polska Sp. z o.o.		k¿@adelphia.pl	1957-05-20	24099906400333042401684104
KI002	Safonów	Magdalena	52082742282	2960	0166854071	2003-11-23	kierownik	KI	kobieta	K	110-650-54-45	Amco s.c.		ms@adelphia.pl	1952-08-27	24057203050126000609935974
PR098	Smagie³	Zbigniew	46070337835	2390	0164682647	2003-09-10	pracownik	PR	mê¿czyzna	M	247-052-89-81	Mar - Co	601784660	zs@aster.pl	1946-07-03	24074407570228071902793561
PR055	Burakowska	Natalia	33070860566	2710	600254657	2005-08-03	pracownik	PR	kobieta	K	166-279-27-16	INFOS		nb@adelphia.pl	1933-07-08	24084309710581036500444771
PR162	Œwierczewska	Renata	74012640202	3030	0208326425	2005-02-03	pracownik	PR	kobieta	K	845-328-23-51	A1-A4		rœ@gmail.pl	1974-01-26	24043402230878004804454344
PR180	Ludziak	Marek	88020428996	2060	0248886503	2003-02-10	pracownik	PR	mê¿czyzna	M			601935106	ml@gmail.pl	1988-02-04	24075409890161038001912611
PR107	Iakuszyk	Wiktor	75110243377	1740	0228373115	2005-02-08	pracownik	PR	mê¿czyzna	M	247-052-89-81	Mar - Co		wi@adelphia.pl	1975-11-02	24074407570228071902790334
PR207	Stêpieñ	Stanislaw	74052747057	1920	0234390199	2004-05-06	pracownik	PR	mê¿czyzna	M				ss@gmail.pl	1974-05-27	24030709360376013206267948
PR211	Kalbarczyk	Jan	47071637139	2540	0188420844	2002-08-17	pracownik	PR	mê¿czyzna	M				jk@adelphia.pl	1947-07-16	24038509790998072505834690
PR193	Dragowski	Adam	66051421678	2760	600416496	2005-09-24	pracownik	PR	mê¿czyzna	M				ad@aster.pl	1966-05-14	24029406040955093302435027
PR125	Su³kowska	Ewa	66052126121	1780	0186308298	2003-06-21	pracownik	PR	kobieta	K	247-052-89-81	Mar - Co		es@wp.pl	1966-05-21	24091301340352093009387406
PR196	Chêdzyñski	Henryk	32060436758	1860	600777773	1998-10-15	pracownik	PR	mê¿czyzna	M				hc@adelphia.pl	1932-06-04	24022706800876003501664431
PR201	Jod³a	Ryszard	43042648698	2860	0168423414	2003-05-10	pracownik	PR	mê¿czyzna	M				rj@wp.pl	1943-04-26	24091208360153044203110380
PR08H	Sa³ek	El¿bieta	52091260245	2410	0147878672	2004-12-17	pracownik	PR	kobieta	K	247-052-89-81	Mar - Co		es@wp.pl	1952-09-12	24061602460289063002616075
PR152	Sobczyñski	Pawe³	56080648694	2520	0247811418	2002-07-15	pracownik	PR	mê¿czyzna	M				ps@adelphia.pl	1956-08-06	24052403760012068404648996
PR133	Kotas	Marta	40050523982	1380	0206737544	2004-08-20	pracownik	PR	kobieta	K				mk@wp.pl	1940-05-05	24091100210489087307363878
PR123	Ratajczyk	Aleksandra	67050323909	3190	0247530482	2003-04-23	pracownik	PR	kobieta	K	166-279-27-16	INFOS		ar@gmail.pl	1967-05-03	24084408780851095503356797
DY002	Kulpita	Marzena	44021247626	4780	0186311343	2004-12-27	dyrektor	DY	kobieta	K	166-279-27-16	INFOS		mk@wp.pl	1944-02-12	24001405470932073703298430
PR092	Pa³aszewski	Micha³	45122721437	1980	0246616327	2002-10-20	pracownik	PR	mê¿czyzna	M	166-279-27-16	INFOS	602329255	mp@gmail.pl	1945-12-27	24045202870310092601732573
HA005	Cegie³ka	Micha³	53112546452	2250	601282117	2001-06-20	handlowiec	HA	mê¿czyzna	M	860-885-46-08	Merituum		mc@wp.pl	1953-11-25	24046602730016055103780231
PR212	Ukleja	Maria	86122025886	3340	0128920129	2002-08-22	pracownik	PR	kobieta	K			600130078	mu@adelphia.pl	1986-12-20	24055203940230049300544546
PR020	Tulej	Mateusz	73112334758	2490	0127084154	2002-09-02	pracownik	PR	mê¿czyzna	M	860-885-46-08	Merituum	601430418	mt@aster.pl	1973-11-23	24001200560394017602490285
PR146	Matera	Rados³aw	61012837934	3500	0187269102	2003-04-27	pracownik	PR	mê¿czyzna	M	861-962-24-50	Reda Polska Sp. z o.o.		rm@adelphia.pl	1961-01-28	24081607100924078705543442
PR111	Dzidek	Hanna	41121446409	2140	601430418	2000-12-15	pracownik	PR	kobieta	K				hd@gmail.pl	1941-12-14	24001200560394017602491355
PR011	Koz³owska	Wioletta	62080166847	2460	0188885644	2004-08-16	pracownik	PR	kobieta	K	861-962-24-50	Reda Polska Sp. z o.o.		wk@aster.pl	1962-08-01	24045206990900008903815530
ST019	Fetraœ	Aleksandra	68011123082	2110	600256361	2005-06-27	sta¿ysta	ST	kobieta	K	860-885-46-08	Merituum	601833546	af@wp.pl	1968-01-11	24022706800876003501668517
PR132	Olszewska	Marta	38012764546	2280	0198446989	2004-05-24	pracownik	PR	kobieta	K	861-962-24-50	Reda Polska Sp. z o.o.		mo@aster.pl	1938-01-27	24000008620854097802160493
PR220	Gugalski	Katarzyna	39031821166	2310	0178808636	2003-01-26	pracownik	PR	kobieta	K			600416496	kg@wp.pl	1939-03-18	24088707990880059605160687
PR070	Tkaczyk	Wioleta	32062262306	2020	0145736054	2004-02-03	pracownik	PR	kobieta	K	110-650-54-45	Amco s.c.		wt@aster.pl	1932-06-22	24034603370158034004094722
PR005	Piekart	Anna	75111221408	2920	0176013494	2003-07-31	pracownik	PR	kobieta	K	708-429-39-37	Hossa Media	602487960	ap@gmail.pl	1975-11-12	24081806660359059706643775
PR151	Chêtnik	Krzysztof	78030234856	2970	602284372	2001-05-23	pracownik	PR	mê¿czyzna	M				kc@aster.pl	1978-03-02	24065208310440053500882175
PR086	Jankowska-Stradowska	Olga	53030126022	2460	0204836933	2003-01-06	pracownik	PR	kobieta	K	840-155-42-56	GCI		oj@wp.pl	1953-03-01	24051905540440000702843238
MA001	Danielewicz	Iwona	32022825107	2780	601833546	2000-12-31	magazynier	MA	kobieta	K	110-650-54-45	Amco s.c.		id@gmail.pl	1932-02-28	24040609820695066103145345
PR149	Stêpieñ	Weronika	88070945067	2890	0224559258	2004-09-05	pracownik	PR	kobieta	K	166-279-27-16	INFOS		ws@gmail.pl	1988-07-09	24009506900663057206945697
PR139	Polishchuk	Iryna	80081741803	2320	0255992376	2002-08-13	pracownik	PR	kobieta	K	708-429-39-37	Hossa Media			1980-08-17	24017903200471035606964665
PR088	Kowalska	Wioletta	56121327661	1620	0225804531	2002-10-17	pracownik	PR	kobieta	K	791-326-35-68	Media-Ster Sp. z o.o.		wk@aster.pl	1956-12-13	24094404630136044106173549
HA004	Biniasz	Maciej	80061120192	2830	602952255	2001-03-27	handlowiec	HA	mê¿czyzna	M	860-885-46-08	Merituum	600803663	mb@adelphia.pl	1980-06-11	24030709360376013206260518
PR209	Kurek	W³adys³awa	34112169162	2520	0198988373	2004-11-20	pracownik	PR	kobieta	K				wk@wp.pl	1934-11-21	24035606580399081508043523
HA007	Furga	Kinga	62030443028	3010	601555010	2004-05-07	handlowiec	HA	kobieta	K	860-885-46-08	Merituum		kf@adelphia.pl	1962-03-04	24051905540440000702844631
ST018	Ho³oweñko	Pawe³	87032827117	3060	0164501040	2003-02-14	sta¿ysta	ST	mê¿czyzna	M	860-885-46-08	Merituum		ph@aster.pl	1987-03-28	24048607530574060102510182
PR121	RzeŸnik	Agnieszka	78011163427	2240	0255960143	2003-07-07	pracownik	PR	kobieta	K				ar@gmail.pl	1978-01-11	24092004120246078808512400
KS002	Dzwonkowski	Robert	54061943259	3360	600891478	2003-08-25	ksiêgowy	KS	mê¿czyzna	M	166-279-27-16	INFOS		rd@wp.pl	1954-06-19	24029406040955093302430853
MA003	Œliwiñska	Agnieszka	66020864686	2300	0259126257	2003-07-31	magazynier	MA	kobieta	K	765-160-08-68	Light	600848098	aœ@gmail.pl	1966-02-08	24091301340352093009380113
PR136	Skura	Ewa	74020546549	3060	0199009035	2003-03-12	pracownik	PR	kobieta	K	953-584-13-08	Dormington Sp. z o.o.		es@wp.pl	1974-02-05	24032400090660097708083970
MA005	Czernik	Agnieszka	83101949948	2270	601478252	2005-02-07	magazynier	MA	kobieta	K	166-279-27-16	INFOS	600943982	ac@adelphia.pl	1983-10-19	24002206880837026100070737
ST017	Krasucka	Katarzyna	32101944361	2850	0189302205	2002-07-23	sta¿ysta	ST	kobieta	K	860-885-46-08	Merituum	601411889	kk@gmail.pl	1932-10-19	24072205590885071702349070
ST016	Kochanowicz	Anna	66092723049	2900	0207450870	2003-05-08	sta¿ysta	ST	kobieta	K	860-885-46-08	Merituum		ak@adelphia.pl	1966-09-27	24059908310776019105063151
DY001	Mikulska	Anna	66060626105	5400	0246059906	2003-10-18	dyrektor	DY	kobieta	K	765-160-08-68	Light			1966-06-06	24065902670184024307798753
PR158	Pochylska	Agnieszka	41090760467	2870	0136421285	2004-02-03	pracownik	PR	kobieta	K	247-052-89-81	Mar - Co		ap@wp.pl	1941-09-07	24001200560394017602498682
PR012	G¹siorowski	Piotr	56062446632	2650	600280616	2005-10-05	pracownik	PR	mê¿czyzna	M	765-160-08-68	Light		pg@gmail.pl	1956-06-24	24043804290438088805508508
PR096	Królikowska	Gra¿yna	78051748903	2430	0257455160	2003-03-07	pracownik	PR	kobieta	K	166-279-27-16	INFOS		gk@gmail.pl	1978-05-17	24074407570228071902799109
PR115	Cha³aszczyk	Alicja	56032327149	2460	602359472	2004-01-03	pracownik	PR	kobieta	K				ac@adelphia.pl	1956-03-23	24072008070392003101379159
KI004	Biniecki	Sebastian	62102837254	1750	601926710	2003-02-03	kierownik	KI	mê¿czyzna	M	861-962-24-50	Reda Polska Sp. z o.o.		sb@aster.pl	1962-10-28	24009506900663057206946265
PR029	Kotowska	Urszula	80091861142	3860	0146211201	2003-08-09	pracownik	PR	kobieta	K	861-962-24-50	Reda Polska Sp. z o.o.			1980-09-18	24074407570228071902795636
PR197	Oszuk	Krzysztof	53041020371	2310	0139780870	2002-07-09	pracownik	PR	mê¿czyzna	M					1953-04-10	24017501800867051405814667
PR183	Alabañski	Bartek	54070827894	2860	600279373	2000-12-25	pracownik	PR	mê¿czyzna	M					1954-07-08	24084309710581036500448648
PR025	Galaszewski	Wojciech	35012127117	2590	601774790	1999-10-18	pracownik	PR	mê¿czyzna	M	166-279-27-16	INFOS		wg@wp.pl	1935-01-21	24046602730016055103787425
AD005	Wojciechowski	Pawe³	60010538434	3110	0258462456	2003-09-26	administracja	AD	mê¿czyzna	M	765-160-08-68	Light		pw@wp.pl	1960-01-05	24029406040955093302435869
PR059	Mikusek	Gra¿yna	83040142206	2250	0137999624	2004-11-30	pracownik	PR	kobieta	K	840-155-42-56	GCI		gm@aster.pl	1983-04-01	24081607100924078705544380
MA009	Bia³kowska	Marta	80111945982	1880	600221866	2005-04-01	magazynier	MA	kobieta	K	840-155-42-56	GCI		mb@wp.pl	1980-11-19	24031907670011005105214515
PR186	Lukiewicz	Marian	63090435419	2350	0175428905	2004-01-17	pracownik	PR	mê¿czyzna	M			600972046	ml@adelphia.pl	1963-09-04	24044004970605044904290507
PR110	Œlifierski	Walenty	55072421499	1860	0227704204	2003-06-30	pracownik	PR	mê¿czyzna	M				wœ@gmail.pl	1955-07-24	24075409890161038001911719
PR013	Janus	Weronika	51060742681	2570	0135927310	2003-05-21	pracownik	PR	kobieta	K	101-601-74-87	Data		wj@aster.pl	1951-06-07	24075403080466067707670051
PR114	Fija³kowska	Bo¿ena	63052864143	2310	602196280	2004-05-03	pracownik	PR	kobieta	K			601400949	bf@gmail.pl	1963-05-28	24035606580399081508040221
KI012	Polañska	Ma³gorzata	56091963061	3830	0176770152	2003-12-02	kierownik	KI	kobieta	K	110-650-54-45	Amco s.c.		mp@adelphia.pl	1956-09-19	24002206880837026100075021
PR097	Downarowicz	Tomasz	84100729311	3440	601726047	2002-04-18	pracownik	PR	mê¿czyzna	M	166-279-27-16	INFOS	602359472	td@adelphia.pl	1984-10-07	24055203940230049300540506
PR104	Piekarz	Katarzyna	75012426427	2590	0244459368	2004-08-05	pracownik	PR	kobieta	K	861-962-24-50	Reda Polska Sp. z o.o.		kp@aster.pl	1975-01-24	24076905300378062708117701
PR221	Mia³oñ	Henryk	81041822112	2870	0197111325	2004-12-16	pracownik	PR	mê¿czyzna	M					1981-04-18	24092000840521064602695293
KS006	£agowska	Karolina	79031027261	2590	0168227784	2005-02-26	ksiêgowy	KS	kobieta	K	166-279-27-16	INFOS		k³@adelphia.pl	1979-03-10	24099500120232010208888062
PR169	Misiak	Henryk	58081321051	3600	0198667685	2004-03-16	pracownik	PR	mê¿czyzna	M				hm@wp.pl	1958-08-13	24059908310776019105061887
PR019	Kulewicz	Konrad	53072035913	2210	0258906499	2003-05-16	pracownik	PR	mê¿czyzna	M	166-279-27-16	INFOS			1953-07-20	24045202870310092601734895
PR087	Olczak	Karolina	58101467105	3850	0177786538	2003-05-28	pracownik	PR	kobieta	K	166-279-27-16	INFOS		ko@gmail.pl	1958-10-14	24044004970605044904294095
PR058	Grabiñska	Dorota	78090666844	2700	0178380328	2003-09-23	pracownik	PR	kobieta	K	166-279-27-16	INFOS		dg@gmail.pl	1978-09-06	24040609820695066103144016
PR047	Gogó³	Greta	59021920008	2950	600130078	1998-10-26	pracownik	PR	kobieta	K	840-155-42-56	GCI		gg@adelphia.pl	1959-02-19	24092800470918020101256574
PR028	Jakubowska	Dorota	64060442703	2900	0178964722	2002-06-16	pracownik	PR	kobieta	K	840-155-42-56	GCI			1964-06-04	24072801260631059108921976
AD001	Nawrot	Igor	65081737377	3100	0179438392	2003-02-24	administracja	AD	mê¿czyzna	M	860-885-46-08	Merituum		in@aster.pl	1965-08-17	24032400090660097708086839
PR022	Jarzyna	Agnieszka	53032466962	1750	0186982472	2003-05-11	pracownik	PR	kobieta	K				aj@gmail.pl	1953-03-24	24050301430920019608900305
MA004	Tarasiuk	Piotr	47061537971	3280	0169109640	2002-09-26	magazynier	MA	mê¿czyzna	M	765-160-08-68	Light	602133243	pt@adelphia.pl	1947-06-15	24058705750274019200265401
PR073	Dom¿alska	Agnieszka	68091368425	2050	602639560	1998-12-03	pracownik	PR	kobieta	K	247-052-89-81	Mar - Co		ad@gmail.pl	1968-09-13	24072008070392003101373364
PR160	Rogulska	Marta	58010363509	2190	0208783261	2005-03-02	pracownik	PR	kobieta	K	247-052-89-81	Mar - Co	601926710	mr@aster.pl	1958-01-03	24046602730016055103782644
PR131	Olechowicz	Krzysztof	78012025931	2050	0177313809	2003-12-25	pracownik	PR	mê¿czyzna	M	861-962-24-50	Reda Polska Sp. z o.o.		ko@wp.pl	1978-01-20	24005703790800094004475094
PR118	Czarkowska	Monika	86111164228	2970	601827322	2005-06-25	pracownik	PR	kobieta	K	860-885-46-08	Merituum	600262615	mc@gmail.pl	1986-11-11	24043402230878004804451618
HA001	Zyga	Paulina	77081921368	980	0255410588	2003-04-06	handlowiec	HA	kobieta	K	860-885-46-08	Merituum			1977-08-19	24057203050126000609932189
PR178	Ewacki	Bartek	48072733138	2300	601686517	2006-02-13	pracownik	PR	mê¿czyzna	M			600745413	be@gmail.pl	1948-07-27	24043402230878004804454784
HA008	Mila	Agnieszka	32110747546	2850	0234835199	2003-11-08	handlowiec	HA	kobieta	K	860-885-46-08	Merituum	600286293	am@gmail.pl	1932-11-07	24094404630136044106177425
PR215	Pulkowski	Jan	81032226976	2530	0159653247	2004-04-28	pracownik	PR	mê¿czyzna	M				jp@gmail.pl	1981-03-22	24050406050291087103400776
PR222	Grzeluk	Wincenty	53100725559	2060	0134427268	2003-07-20	pracownik	PR	mê¿czyzna	M				wg@wp.pl	1953-10-07	24034603370158034004096518
PR009	Chludziñska	Ma³gorzata	45102660569	2060	601362008	2004-03-25	pracownik	PR	kobieta	K	426-228-93-45	Delta			1945-10-26	24016905220937058005523788
PR068	K³osiñska	Ewa	82010241325	1880	0179066978	2004-05-12	pracownik	PR	kobieta	K	426-228-93-45	Delta		ek@gmail.pl	1982-01-02	24075403080466067707672567
PR091	Orman	Justyna	48030221129	2100	0168082424	2002-12-21	pracownik	PR	kobieta	K	860-885-46-08	Merituum		jo@gmail.pl	1948-03-02	24057203050126000609936419
PR216	Kalicki	Marian	58120443733	1840	0185588608	2005-03-04	pracownik	PR	mê¿czyzna	M			601362008	mk@wp.pl	1958-12-04	24002206880837026100075005
PR109	Kowalik	Wioletta	68050469062	3340	0246833063	2005-02-20	pracownik	PR	kobieta	K	247-052-89-81	Mar - Co		wk@aster.pl	1968-05-04	24036402030563090902726663
PR190	Majewski	Stanislaw	74041824659	2630	0256850415	2004-01-12	pracownik	PR	mê¿czyzna	M				sm@gmail.pl	1974-04-18	24091100210489087307362339
MA006	Bary³a	Piotr	40100932614	2020	600972046	1998-08-21	magazynier	MA	mê¿czyzna	M				pb@gmail.pl	1940-10-09	24099906400333042401680470
PR117	Zarzycki	Wojciech	76060740118	2780	0178140904	2003-06-05	pracownik	PR	mê¿czyzna	M	166-279-27-16	INFOS		wz@adelphia.pl	1976-06-07	24099500120232010208888170
PR056	Oleksiñska	Beata	49122341181	2920	0218182928	2003-05-01	pracownik	PR	kobieta	K				bo@wp.pl	1949-12-23	24045809250594062706250732
PR024	Domeracki	Micha³	47032442152	3160	600740972	2003-02-28	pracownik	PR	mê¿czyzna	M				md@gmail.pl	1947-03-24	24072008070392003101370706
PR135	Foremna	Angelika	47060363324	2590	601400949	2000-06-16	pracownik	PR	kobieta	K	708-429-39-37	Hossa Media		af@wp.pl	1947-06-03	24084309710581036500440681
PR017	Potrzebowski	Szymon	66100542275	3140	0198963417	2003-10-30	pracownik	PR	mê¿czyzna	M	247-052-89-81	Mar - Co		sp@adelphia.pl	1966-10-05	24092000840521064602694668
PR004	G³odowska	Beata	55122827064	3580	600241198	2002-03-09	pracownik	PR	kobieta	K				bg@gmail.pl	1955-12-28	24067605440805048007346884
PR189	Sygocki	Jerzy	74040621219	2920	0154672374	2004-02-15	pracownik	PR	mê¿czyzna	M				js@aster.pl	1974-04-06	24099906400333042401683974
PR202	Jucha³a	Jerzy	65072036139	3030	0167186063	2004-10-07	pracownik	PR	mê¿czyzna	M				jj@wp.pl	1965-07-20	24057203050126000609933324
